sp|E7S4M0|CSN2_STRA8
tr|E7S4C3|E7S4C3_STRA8
tr|E7S689|E7S689_STRA8	K15866
tr|E7S1Y5|E7S1Y5_STRA8
tr|E7S3Y3|E7S3Y3_STRA8
tr|E7S5W6|E7S5W6_STRA8
tr|E7S2H4|E7S2H4_STRA8
tr|E7S4C9|E7S4C9_STRA8	K07705
tr|E7S352|E7S352_STRA8
tr|E7S3E6|E7S3E6_STRA8	K03086
tr|E7S672|E7S672_STRA8
tr|E7S752|E7S752_STRA8	K02994
tr|E7S5G6|E7S5G6_STRA8
tr|E7S6N8|E7S6N8_STRA8	K07341
tr|E7S1H4|E7S1H4_STRA8
tr|E7S2C4|E7S2C4_STRA8
tr|E7S297|E7S297_STRA8
tr|E7S2V3|E7S2V3_STRA8	K16786
tr|E7S2V3|E7S2V3_STRA8	K16787
tr|E7S2S1|E7S2S1_STRA8	K02434
tr|E7S3W6|E7S3W6_STRA8
tr|E7S4V8|E7S4V8_STRA8	K07150
tr|E7S2T0|E7S2T0_STRA8
tr|E7S3E7|E7S3E7_STRA8
tr|E7S4V0|E7S4V0_STRA8	K00525
tr|E7S4K5|E7S4K5_STRA8
tr|E7S2N3|E7S2N3_STRA8
tr|E7S3Y1|E7S3Y1_STRA8	K01104
tr|E7S1D7|E7S1D7_STRA8	K05845
tr|E7S1D7|E7S1D7_STRA8	K05846
tr|E7S2F8|E7S2F8_STRA8	K03476
tr|E7S3T1|E7S3T1_STRA8
tr|E7S1R8|E7S1R8_STRA8
tr|E7S1C5|E7S1C5_STRA8
tr|E7S2X4|E7S2X4_STRA8	K02424
tr|E7S406|E7S406_STRA8
tr|E7S771|E7S771_STRA8	K04072
tr|E7S2B6|E7S2B6_STRA8	K04083
tr|E7S1D6|E7S1D6_STRA8	K14205
tr|E7S3U9|E7S3U9_STRA8
tr|E7S2Z0|E7S2Z0_STRA8	K06024
tr|E7S403|E7S403_STRA8	K02622
tr|E7S1J3|E7S1J3_STRA8	K05593
tr|E7S724|E7S724_STRA8	K03686
tr|E7S1D3|E7S1D3_STRA8	K01421
tr|E7S2W8|E7S2W8_STRA8
tr|E7S4Z0|E7S4Z0_STRA8	K07461
tr|E7S506|E7S506_STRA8	K02358
tr|E7S4D8|E7S4D8_STRA8	K02013
tr|E7S3N6|E7S3N6_STRA8	K15738
tr|E7S2N6|E7S2N6_STRA8	K01262
tr|E7S3E5|E7S3E5_STRA8	K02316
tr|E7S5P5|E7S5P5_STRA8
tr|E7S1U1|E7S1U1_STRA8
tr|E7S4Z6|E7S4Z6_STRA8	K02837
tr|E7S4Q2|E7S4Q2_STRA8
tr|E7S348|E7S348_STRA8
tr|E7S4T6|E7S4T6_STRA8
tr|E7S1G3|E7S1G3_STRA8
tr|E7S4T4|E7S4T4_STRA8
tr|E7S3L4|E7S3L4_STRA8	K02003
tr|E7S4H7|E7S4H7_STRA8
tr|E7S6D5|E7S6D5_STRA8
tr|E7S1H1|E7S1H1_STRA8
tr|E7S393|E7S393_STRA8	K01759
tr|E7S4H8|E7S4H8_STRA8	K04094
tr|E7S634|E7S634_STRA8
tr|E7S677|E7S677_STRA8	K01962
tr|E7S224|E7S224_STRA8	K00981
tr|E7S6N6|E7S6N6_STRA8
tr|E7S6L6|E7S6L6_STRA8
tr|E7S442|E7S442_STRA8	K01633
tr|E7S4Y5|E7S4Y5_STRA8	K07024
tr|E7S428|E7S428_STRA8
tr|E7S463|E7S463_STRA8	K00858
tr|E7S788|E7S788_STRA8	K01060
tr|E7S6G6|E7S6G6_STRA8
tr|E7S214|E7S214_STRA8
tr|E7S6C6|E7S6C6_STRA8
tr|E7S1N9|E7S1N9_STRA8	K09861
tr|E7S209|E7S209_STRA8
tr|E7S775|E7S775_STRA8	K01104
tr|E7S3P7|E7S3P7_STRA8
tr|E7S6Y4|E7S6Y4_STRA8
tr|E7S5C6|E7S5C6_STRA8
tr|E7S5V6|E7S5V6_STRA8
tr|E7S438|E7S438_STRA8	K05786
tr|E7S1Q8|E7S1Q8_STRA8	K03555
tr|E7S3W3|E7S3W3_STRA8
tr|E7S577|E7S577_STRA8
tr|E7S1G2|E7S1G2_STRA8
tr|E7S562|E7S562_STRA8	K02529
tr|E7S5T3|E7S5T3_STRA8
tr|E7S2I9|E7S2I9_STRA8	K00134
tr|E7S3R7|E7S3R7_STRA8	K03544
tr|E7S2S8|E7S2S8_STRA8
tr|E7S5W7|E7S5W7_STRA8
tr|E7S383|E7S383_STRA8	K10563
tr|E7S781|E7S781_STRA8
tr|E7S2P2|E7S2P2_STRA8	K02356
tr|E7S4K2|E7S4K2_STRA8	K00873
tr|E7S4M6|E7S4M6_STRA8
tr|E7S719|E7S719_STRA8
tr|E7S268|E7S268_STRA8
tr|E7S4G3|E7S4G3_STRA8	K14982
tr|E7S281|E7S281_STRA8
tr|E7S3B5|E7S3B5_STRA8
tr|E7S6F9|E7S6F9_STRA8
tr|E7S764|E7S764_STRA8	K02892
tr|E7S6I1|E7S6I1_STRA8
tr|E7S510|E7S510_STRA8
tr|E7S779|E7S779_STRA8
tr|E7S448|E7S448_STRA8	K11069
tr|E7S2L1|E7S2L1_STRA8
tr|E7S4M9|E7S4M9_STRA8
tr|E7S4A8|E7S4A8_STRA8	K00762
tr|E7S737|E7S737_STRA8
tr|E7S5N7|E7S5N7_STRA8
tr|E7S4E5|E7S4E5_STRA8	K07052
tr|E7S2B9|E7S2B9_STRA8	K01919
tr|E7S248|E7S248_STRA8
tr|E7S1E1|E7S1E1_STRA8	K07717
tr|E7S2V5|E7S2V5_STRA8	K03499
tr|E7S5Q3|E7S5Q3_STRA8	K18890
tr|E7S633|E7S633_STRA8	K03523
tr|E7S338|E7S338_STRA8	K04750
tr|E7S3S3|E7S3S3_STRA8	K04086
tr|E7S1X2|E7S1X2_STRA8
tr|E7S5T5|E7S5T5_STRA8	K16264
tr|E7S696|E7S696_STRA8	K01738
tr|E7S2X1|E7S2X1_STRA8	K07082
tr|E7S415|E7S415_STRA8	K03657
tr|E7S5J5|E7S5J5_STRA8
tr|E7S4U3|E7S4U3_STRA8	K00876
tr|E7S3N3|E7S3N3_STRA8
tr|E7S542|E7S542_STRA8	K07024
tr|E7S6F1|E7S6F1_STRA8	K01990
tr|E7S2Y1|E7S2Y1_STRA8	K07105
tr|E7S599|E7S599_STRA8
tr|E7S6L3|E7S6L3_STRA8
tr|E7S6G7|E7S6G7_STRA8	K03496
tr|E7S1X4|E7S1X4_STRA8	K01819
tr|E7S4W3|E7S4W3_STRA8
tr|E7S1T9|E7S1T9_STRA8	K07658
tr|E7S6J6|E7S6J6_STRA8
tr|E7S6F8|E7S6F8_STRA8	K00864
tr|E7S292|E7S292_STRA8	K18581
tr|E7S4D7|E7S4D7_STRA8	K02015
tr|E7S751|E7S751_STRA8	K02933
tr|E7S6P1|E7S6P1_STRA8
tr|E7S2I1|E7S2I1_STRA8	K01783
tr|E7S4D0|E7S4D0_STRA8
tr|E7S673|E7S673_STRA8
tr|E7S6R7|E7S6R7_STRA8	K00640
tr|E7S456|E7S456_STRA8	K03630
tr|E7S6P6|E7S6P6_STRA8	K01154
tr|E7S5I7|E7S5I7_STRA8
tr|E7S3N9|E7S3N9_STRA8	K18887
tr|E7S1Y4|E7S1Y4_STRA8
tr|E7S4C4|E7S4C4_STRA8
tr|E7S7B9|E7S7B9_STRA8
tr|E7S2M1|E7S2M1_STRA8
tr|E7S5A9|E7S5A9_STRA8	K20487
tr|E7S4W8|E7S4W8_STRA8	K07393
tr|E7S2T6|E7S2T6_STRA8	K02440
tr|E7S421|E7S421_STRA8
tr|E7S3U5|E7S3U5_STRA8
tr|E7S3L8|E7S3L8_STRA8	K06960
tr|E7S183|E7S183_STRA8	K01478
tr|E7S2U2|E7S2U2_STRA8
tr|E7S7E7|E7S7E7_STRA8
tr|E7S4Y7|E7S4Y7_STRA8	K02237
tr|E7S543|E7S543_STRA8	K07024
tr|E7S483|E7S483_STRA8
tr|E7S255|E7S255_STRA8
tr|E7S1R9|E7S1R9_STRA8
tr|E7S5J9|E7S5J9_STRA8	K02221
tr|E7S3B7|E7S3B7_STRA8
tr|E7S7A8|E7S7A8_STRA8	K03621
tr|E7S184|E7S184_STRA8
tr|E7S1C4|E7S1C4_STRA8
tr|E7S2B5|E7S2B5_STRA8
tr|E7S416|E7S416_STRA8
tr|E7S777|E7S777_STRA8
tr|E7S2C3|E7S2C3_STRA8	K01939
tr|E7S5Z2|E7S5Z2_STRA8
tr|E7S6B7|E7S6B7_STRA8	K00942
tr|E7S6L8|E7S6L8_STRA8
tr|E7S5F5|E7S5F5_STRA8
tr|E7S7E5|E7S7E5_STRA8	K03584
tr|E7S740|E7S740_STRA8	K03040
tr|E7S3X9|E7S3X9_STRA8
tr|E7S274|E7S274_STRA8
tr|E7S5F0|E7S5F0_STRA8	K06286
tr|E7S2F6|E7S2F6_STRA8
tr|E7S5W0|E7S5W0_STRA8
tr|E7S726|E7S726_STRA8	K03687
tr|E7S6C8|E7S6C8_STRA8
tr|E7S3B9|E7S3B9_STRA8
tr|E7S2L5|E7S2L5_STRA8	K02346
tr|E7S493|E7S493_STRA8
tr|E7S1E0|E7S1E0_STRA8
tr|E7S389|E7S389_STRA8	K12573
tr|E7S2L6|E7S2L6_STRA8
tr|E7S326|E7S326_STRA8
tr|E7S3L6|E7S3L6_STRA8
tr|E7S5U2|E7S5U2_STRA8
tr|E7S1S2|E7S1S2_STRA8
tr|E7S4M7|E7S4M7_STRA8	K02495
tr|E7S402|E7S402_STRA8	K08591
tr|E7S712|E7S712_STRA8	K04485
tr|E7S5U1|E7S5U1_STRA8	K01607
tr|E7S629|E7S629_STRA8	K01934
tr|E7S687|E7S687_STRA8	K00648
tr|E7S3S1|E7S3S1_STRA8	K16235
tr|E7S2P1|E7S2P1_STRA8
tr|E7S6N1|E7S6N1_STRA8
tr|E7S1K9|E7S1K9_STRA8	K01361
tr|E7S1H8|E7S1H8_STRA8
tr|E7S1L6|E7S1L6_STRA8
tr|E7S2R1|E7S2R1_STRA8	K14260
tr|E7S391|E7S391_STRA8
tr|E7S5E7|E7S5E7_STRA8
tr|E7S2Y8|E7S2Y8_STRA8
tr|E7S485|E7S485_STRA8
tr|E7S174|E7S174_STRA8
tr|E7S1M5|E7S1M5_STRA8
tr|E7S7C3|E7S7C3_STRA8
tr|E7S766|E7S766_STRA8	K02906
tr|E7S5R2|E7S5R2_STRA8
tr|E7S7F9|E7S7F9_STRA8
tr|E7S769|E7S769_STRA8	K01733
tr|E7S3Q8|E7S3Q8_STRA8
tr|E7S1I5|E7S1I5_STRA8
tr|E7S3E1|E7S3E1_STRA8
tr|E7S4N5|E7S4N5_STRA8	K03800
tr|E7S6L2|E7S6L2_STRA8
tr|E7S2Q0|E7S2Q0_STRA8	K03070
tr|E7S207|E7S207_STRA8
tr|E7S4R6|E7S4R6_STRA8	K07029
tr|E7S3R5|E7S3R5_STRA8	K00287
tr|E7S6X8|E7S6X8_STRA8	K09014
tr|E7S2G4|E7S2G4_STRA8	K02914
tr|E7S217|E7S217_STRA8
tr|E7S5X4|E7S5X4_STRA8
tr|E7S4K7|E7S4K7_STRA8
tr|E7S3Y2|E7S3Y2_STRA8
tr|E7S4I3|E7S4I3_STRA8	K08234
tr|E7S388|E7S388_STRA8
tr|E7S660|E7S660_STRA8	K02503
tr|E7S7F2|E7S7F2_STRA8
tr|E7S2H9|E7S2H9_STRA8	K00563
tr|E7S5W9|E7S5W9_STRA8
tr|E7S657|E7S657_STRA8	K01992
tr|E7S1K7|E7S1K7_STRA8
tr|E7S5N9|E7S5N9_STRA8	K03574
tr|E7S754|E7S754_STRA8	K02931
tr|E7S3I8|E7S3I8_STRA8
tr|E7S2P0|E7S2P0_STRA8
tr|E7S643|E7S643_STRA8	K07024
tr|E7S6V7|E7S6V7_STRA8	K02244
tr|E7S2Z1|E7S2Z1_STRA8	K06178
tr|E7S3Q2|E7S3Q2_STRA8	K00869
tr|E7S5A8|E7S5A8_STRA8
tr|E7S2Y6|E7S2Y6_STRA8	K07095
tr|E7S3V3|E7S3V3_STRA8
tr|E7S1F6|E7S1F6_STRA8
tr|E7S2P5|E7S2P5_STRA8	K03484
tr|E7S3Y5|E7S3Y5_STRA8
tr|E7S6M7|E7S6M7_STRA8	K05847
tr|E7S5I3|E7S5I3_STRA8	K01893
tr|E7S5Z5|E7S5Z5_STRA8
tr|E7S2F9|E7S2F9_STRA8	K01621
tr|E7S192|E7S192_STRA8
tr|E7S6C4|E7S6C4_STRA8	K18682
tr|E7S6S9|E7S6S9_STRA8	K02818
tr|E7S6S9|E7S6S9_STRA8	K02819
tr|E7S636|E7S636_STRA8
tr|E7S6A2|E7S6A2_STRA8
tr|E7S245|E7S245_STRA8	K02315
tr|E7S6A0|E7S6A0_STRA8	K02761
tr|E7S6H3|E7S6H3_STRA8
tr|E7S1V1|E7S1V1_STRA8
tr|E7S2D7|E7S2D7_STRA8	K02954
tr|E7S631|E7S631_STRA8	K11991
tr|E7S790|E7S790_STRA8
tr|E7S1J7|E7S1J7_STRA8
tr|E7S6G5|E7S6G5_STRA8
tr|E7S711|E7S711_STRA8	K01673
tr|E7S339|E7S339_STRA8	K04042
tr|E7S4J1|E7S4J1_STRA8	K07335
tr|E7S778|E7S778_STRA8	K01756
tr|E7S547|E7S547_STRA8
tr|E7S3J3|E7S3J3_STRA8	K19005
tr|E7S489|E7S489_STRA8
tr|E7S2N8|E7S2N8_STRA8
tr|E7S2A9|E7S2A9_STRA8	K02357
tr|E7S3S0|E7S3S0_STRA8
tr|E7S2Z7|E7S2Z7_STRA8	K14155
tr|E7S7B6|E7S7B6_STRA8
tr|E7S3P6|E7S3P6_STRA8
tr|E7S1K6|E7S1K6_STRA8	K00549
tr|E7S6P8|E7S6P8_STRA8	K03427
tr|E7S1V7|E7S1V7_STRA8
tr|E7S756|E7S756_STRA8	K02874
tr|E7S271|E7S271_STRA8
tr|E7S6G0|E7S6G0_STRA8
tr|E7S5J8|E7S5J8_STRA8
tr|E7S6B9|E7S6B9_STRA8	K07693
tr|E7S5Q1|E7S5Q1_STRA8
tr|E7S2G7|E7S2G7_STRA8
tr|E7S3D0|E7S3D0_STRA8	K15772
tr|E7S573|E7S573_STRA8
tr|E7S5S6|E7S5S6_STRA8
tr|E7S5K3|E7S5K3_STRA8	K03590
tr|E7S164|E7S164_STRA8	K06942
tr|E7S4Z9|E7S4Z9_STRA8	K08177
tr|E7S6Z3|E7S6Z3_STRA8	K02902
tr|E7S6X3|E7S6X3_STRA8	K15581
tr|E7S2W5|E7S2W5_STRA8	K11144
tr|E7S2Y9|E7S2Y9_STRA8	K05896
tr|E7S4A5|E7S4A5_STRA8
tr|E7S5P9|E7S5P9_STRA8	K01012
tr|E7S227|E7S227_STRA8
tr|E7S299|E7S299_STRA8
tr|E7S5P6|E7S5P6_STRA8	K00626
tr|E7S336|E7S336_STRA8
tr|E7S412|E7S412_STRA8	K03310
tr|E7S3A3|E7S3A3_STRA8
tr|E7S288|E7S288_STRA8
tr|E7S621|E7S621_STRA8	K07586
tr|E7S251|E7S251_STRA8
tr|E7S5X6|E7S5X6_STRA8
tr|E7S2R6|E7S2R6_STRA8	K09773
tr|E7S275|E7S275_STRA8
tr|E7S418|E7S418_STRA8
tr|E7S6K4|E7S6K4_STRA8	K01992
tr|E7S4H3|E7S4H3_STRA8	K02003
tr|E7S516|E7S516_STRA8	K15634
tr|E7S2U5|E7S2U5_STRA8	K02073
tr|E7S4Y9|E7S4Y9_STRA8
tr|E7S2K6|E7S2K6_STRA8
tr|E7S4L8|E7S4L8_STRA8	K00940
tr|E7S503|E7S503_STRA8
tr|E7S3M8|E7S3M8_STRA8	K00882
tr|E7S3D7|E7S3D7_STRA8
tr|E7S4G2|E7S4G2_STRA8
tr|E7S5P2|E7S5P2_STRA8
tr|E7S2U3|E7S2U3_STRA8	K07010
tr|E7S1W8|E7S1W8_STRA8	K20114
tr|E7S5C2|E7S5C2_STRA8
tr|E7S652|E7S652_STRA8	K07742
tr|E7S225|E7S225_STRA8	K11749
tr|E7S278|E7S278_STRA8
tr|E7S600|E7S600_STRA8
tr|E7S1E4|E7S1E4_STRA8
tr|E7S3B3|E7S3B3_STRA8
tr|E7S745|E7S745_STRA8	K00939
tr|E7S1V5|E7S1V5_STRA8	K02012
tr|E7S4V9|E7S4V9_STRA8	K01872
tr|E7S4P7|E7S4P7_STRA8
tr|E7S474|E7S474_STRA8
tr|E7S258|E7S258_STRA8
tr|E7S5S3|E7S5S3_STRA8
tr|E7S7C4|E7S7C4_STRA8
tr|E7S4F7|E7S4F7_STRA8	K02038
tr|E7S333|E7S333_STRA8
tr|E7S1J5|E7S1J5_STRA8
tr|E7S2E0|E7S2E0_STRA8
tr|E7S3H7|E7S3H7_STRA8	K15986
tr|E7S4X1|E7S4X1_STRA8	K07568
tr|E7S665|E7S665_STRA8	K06901
tr|E7S2J5|E7S2J5_STRA8
tr|E7S587|E7S587_STRA8
tr|E7S423|E7S423_STRA8
tr|E7S6Z2|E7S6Z2_STRA8
tr|E7S198|E7S198_STRA8
tr|E7S392|E7S392_STRA8
tr|E7S1T3|E7S1T3_STRA8
tr|E7S2D3|E7S2D3_STRA8	K03789
tr|E7S4S7|E7S4S7_STRA8	K00941
tr|E7S309|E7S309_STRA8
tr|E7S6K1|E7S6K1_STRA8	K10947
tr|E7S7G5|E7S7G5_STRA8
tr|E7S6A7|E7S6A7_STRA8	K03768
tr|E7S2W7|E7S2W7_STRA8
tr|E7S460|E7S460_STRA8	K00948
tr|E7S5J2|E7S5J2_STRA8	K02836
tr|E7S7E1|E7S7E1_STRA8
tr|E7S5N6|E7S5N6_STRA8	K02029
tr|E7S6K3|E7S6K3_STRA8	K01990
tr|E7S1C9|E7S1C9_STRA8
tr|E7S165|E7S165_STRA8
tr|E7S2F1|E7S2F1_STRA8
tr|E7S2S5|E7S2S5_STRA8	K07574
tr|E7S2K3|E7S2K3_STRA8	K00805
tr|E7S4I7|E7S4I7_STRA8
tr|E7S5Q9|E7S5Q9_STRA8	K07177
tr|E7S3U6|E7S3U6_STRA8	K00784
tr|E7S717|E7S717_STRA8	K03545
tr|E7S159|E7S159_STRA8
tr|E7S194|E7S194_STRA8	K00995
tr|E7S6F5|E7S6F5_STRA8
tr|E7S2G1|E7S2G1_STRA8	K02000
tr|E7S747|E7S747_STRA8	K02876
tr|E7S2V7|E7S2V7_STRA8	K03501
tr|E7S247|E7S247_STRA8
tr|E7S1W9|E7S1W9_STRA8
tr|E7S609|E7S609_STRA8	K03205
tr|E7S5R4|E7S5R4_STRA8	K01914
tr|E7S1L7|E7S1L7_STRA8
tr|E7S715|E7S715_STRA8	K01937
tr|E7S504|E7S504_STRA8	K01834
tr|E7S5L4|E7S5L4_STRA8	K06885
tr|E7S5T7|E7S5T7_STRA8
tr|E7S2I4|E7S2I4_STRA8	K03698
tr|E7S526|E7S526_STRA8	K08303
tr|E7S335|E7S335_STRA8
tr|E7S408|E7S408_STRA8
tr|E7S5B9|E7S5B9_STRA8
tr|E7S4Z4|E7S4Z4_STRA8	K02071
tr|E7S6K7|E7S6K7_STRA8
tr|E7S432|E7S432_STRA8
tr|E7S170|E7S170_STRA8	K02313
tr|E7S3F7|E7S3F7_STRA8
tr|E7S425|E7S425_STRA8
tr|E7S5C0|E7S5C0_STRA8
tr|E7S4J8|E7S4J8_STRA8	K02029
tr|E7S6A5|E7S6A5_STRA8	K04069
tr|E7S6K8|E7S6K8_STRA8
tr|E7S182|E7S182_STRA8
tr|E7S5V3|E7S5V3_STRA8
tr|E7S444|E7S444_STRA8	K00075
tr|E7S6Q9|E7S6Q9_STRA8
tr|E7S1P5|E7S1P5_STRA8	K00527
tr|E7S410|E7S410_STRA8	K06518
tr|E7S4Y4|E7S4Y4_STRA8
tr|E7S3C5|E7S3C5_STRA8
tr|E7S235|E7S235_STRA8	K00046
tr|E7S4A2|E7S4A2_STRA8
tr|E7S5J6|E7S5J6_STRA8	K01870
tr|E7S4Q6|E7S4Q6_STRA8	K02111
tr|E7S3B8|E7S3B8_STRA8
tr|E7S4E4|E7S4E4_STRA8	K02004
tr|E7S5V8|E7S5V8_STRA8	K20459
tr|E7S200|E7S200_STRA8
tr|E7S4F2|E7S4F2_STRA8
tr|E7S5B3|E7S5B3_STRA8
tr|E7S222|E7S222_STRA8
tr|E7S2S4|E7S2S4_STRA8	K06948
tr|E7S4F1|E7S4F1_STRA8	K16509
tr|E7S5M6|E7S5M6_STRA8	K03631
tr|E7S1D2|E7S1D2_STRA8
tr|E7S1Z1|E7S1Z1_STRA8	K00917
tr|E7S1T4|E7S1T4_STRA8	K02040
tr|E7S1Y2|E7S1Y2_STRA8
tr|E7S2S2|E7S2S2_STRA8
tr|E7S3T3|E7S3T3_STRA8	K09765
tr|E7S757|E7S757_STRA8	K02961
tr|E7S4V4|E7S4V4_STRA8	K07729
tr|E7S4S3|E7S4S3_STRA8
tr|E7S5Q2|E7S5Q2_STRA8	K01658
tr|E7S6Q4|E7S6Q4_STRA8
tr|E7S3P2|E7S3P2_STRA8	K00262
tr|E7S3H0|E7S3H0_STRA8
tr|E7S530|E7S530_STRA8
tr|E7S5Q4|E7S5Q4_STRA8	K18889
tr|E7S351|E7S351_STRA8
tr|E7S622|E7S622_STRA8	K06346
tr|E7S735|E7S735_STRA8
tr|E7S7E8|E7S7E8_STRA8
tr|E7S401|E7S401_STRA8	K03648
tr|E7S6K0|E7S6K0_STRA8
tr|E7S2R2|E7S2R2_STRA8	K03706
tr|E7S5G4|E7S5G4_STRA8
tr|E7S791|E7S791_STRA8	K01639
tr|E7S2J7|E7S2J7_STRA8
tr|E7S2S3|E7S2S3_STRA8	K07015
tr|E7S6T2|E7S6T2_STRA8	K02034
tr|E7S6E6|E7S6E6_STRA8	K00147
tr|E7S1H2|E7S1H2_STRA8	K19158
tr|E7S4P0|E7S4P0_STRA8	K06158
tr|E7S5C3|E7S5C3_STRA8
tr|E7S1K8|E7S1K8_STRA8
tr|E7S2Q6|E7S2Q6_STRA8
tr|E7S671|E7S671_STRA8	K02796
tr|E7S2V8|E7S2V8_STRA8	K03744
tr|E7S5J0|E7S5J0_STRA8	K09811
tr|E7S1B7|E7S1B7_STRA8
tr|E7S3N2|E7S3N2_STRA8
tr|E7S4B2|E7S4B2_STRA8	K01955
tr|E7S354|E7S354_STRA8	K08170
tr|E7S3M3|E7S3M3_STRA8	K07035
tr|E7S656|E7S656_STRA8
tr|E7S674|E7S674_STRA8	K01875
tr|E7S5G1|E7S5G1_STRA8
tr|E7S1W2|E7S1W2_STRA8	K07560
tr|E7S3H1|E7S3H1_STRA8
tr|E7S4V7|E7S4V7_STRA8
tr|E7S1G5|E7S1G5_STRA8
tr|E7S5Z9|E7S5Z9_STRA8
tr|E7S321|E7S321_STRA8
tr|E7S574|E7S574_STRA8	K03778
tr|E7S529|E7S529_STRA8
tr|E7S592|E7S592_STRA8
tr|E7S4R1|E7S4R1_STRA8	K00703
tr|E7S6Q5|E7S6Q5_STRA8
tr|E7S3F3|E7S3F3_STRA8
tr|E7S4A4|E7S4A4_STRA8	K00527
tr|E7S451|E7S451_STRA8
tr|E7S5Z3|E7S5Z3_STRA8	K07707
tr|E7S6P9|E7S6P9_STRA8
tr|E7S1X8|E7S1X8_STRA8
tr|E7S5W3|E7S5W3_STRA8
tr|E7S5D7|E7S5D7_STRA8
tr|E7S331|E7S331_STRA8
tr|E7S3L1|E7S3L1_STRA8	K01956
tr|E7S7A2|E7S7A2_STRA8	K11175
tr|E7S1D8|E7S1D8_STRA8	K05847
tr|E7S3F2|E7S3F2_STRA8
tr|E7S4Q1|E7S4Q1_STRA8	K00790
tr|E7S327|E7S327_STRA8
tr|E7S601|E7S601_STRA8
tr|E7S1V0|E7S1V0_STRA8	K02794
tr|E7S5U4|E7S5U4_STRA8	K07006
tr|E7S625|E7S625_STRA8	K00057
tr|E7S5U0|E7S5U0_STRA8
tr|E7S2Y2|E7S2Y2_STRA8	K16788
tr|E7S3B6|E7S3B6_STRA8
tr|E7S1M6|E7S1M6_STRA8	K01619
tr|E7S2D6|E7S2D6_STRA8
tr|E7S1U2|E7S1U2_STRA8	K06896
tr|E7S1A4|E7S1A4_STRA8	K03495
tr|E7S2Q9|E7S2Q9_STRA8	K07024
tr|E7S447|E7S447_STRA8	K11070
tr|E7S718|E7S718_STRA8	K03442
tr|E7S3T7|E7S3T7_STRA8	K01439
tr|E7S7C2|E7S7C2_STRA8
tr|E7S616|E7S616_STRA8
tr|E7S5D6|E7S5D6_STRA8	K00558
tr|E7S768|E7S768_STRA8
tr|E7S731|E7S731_STRA8
tr|E7S1R5|E7S1R5_STRA8	K01892
tr|E7S3I0|E7S3I0_STRA8	K02015
tr|E7S4U6|E7S4U6_STRA8	K00131
tr|E7S179|E7S179_STRA8	K00926
tr|E7S1N8|E7S1N8_STRA8	K07104
tr|E7S3D5|E7S3D5_STRA8	K00688
tr|E7S2Z9|E7S2Z9_STRA8	K01358
tr|E7S2W1|E7S2W1_STRA8
tr|E7S586|E7S586_STRA8
tr|E7S4M4|E7S4M4_STRA8
tr|E7S396|E7S396_STRA8	K06183
tr|E7S2R3|E7S2R3_STRA8
tr|E7S1B0|E7S1B0_STRA8	K02986
tr|E7S6L9|E7S6L9_STRA8
tr|E7S2G6|E7S2G6_STRA8
tr|E7S3S4|E7S3S4_STRA8	K02864
tr|E7S1T8|E7S1T8_STRA8	K02039
tr|E7S2S9|E7S2S9_STRA8	K09710
tr|E7S6I2|E7S6I2_STRA8
tr|E7S732|E7S732_STRA8
tr|E7S411|E7S411_STRA8
tr|E7S2A1|E7S2A1_STRA8
tr|E7S167|E7S167_STRA8
tr|E7S250|E7S250_STRA8
tr|E7S1Z9|E7S1Z9_STRA8
tr|E7S5A6|E7S5A6_STRA8
tr|E7S6G1|E7S6G1_STRA8	K01879
tr|E7S3K4|E7S3K4_STRA8	K02888
tr|E7S4M5|E7S4M5_STRA8	K01101
tr|E7S1U5|E7S1U5_STRA8
tr|E7S1U6|E7S1U6_STRA8
tr|E7S4Y6|E7S4Y6_STRA8	K02238
tr|E7S5W5|E7S5W5_STRA8
tr|E7S2P9|E7S2P9_STRA8	K01809
tr|E7S482|E7S482_STRA8	K00600
tr|E7S5L5|E7S5L5_STRA8	K07024
tr|E7S6R6|E7S6R6_STRA8
tr|E7S512|E7S512_STRA8
tr|E7S536|E7S536_STRA8	K06959
tr|E7S6N3|E7S6N3_STRA8
tr|E7S1M4|E7S1M4_STRA8	K06180
tr|E7S2E8|E7S2E8_STRA8	K01786
tr|E7S3I5|E7S3I5_STRA8	K01258
tr|E7S3Z6|E7S3Z6_STRA8
tr|E7S1Q0|E7S1Q0_STRA8	K16509
tr|E7S7B8|E7S7B8_STRA8
tr|E7S3E2|E7S3E2_STRA8	K06940
tr|E7S5X2|E7S5X2_STRA8
tr|E7S1P7|E7S1P7_STRA8
tr|E7S2Y7|E7S2Y7_STRA8
tr|E7S3X2|E7S3X2_STRA8
tr|E7S505|E7S505_STRA8	K01803
tr|E7S5G5|E7S5G5_STRA8
tr|E7S655|E7S655_STRA8	K03439
tr|E7S6N0|E7S6N0_STRA8	K05846
tr|E7S2F7|E7S2F7_STRA8
tr|E7S635|E7S635_STRA8	K00773
tr|E7S5Z6|E7S5Z6_STRA8	K20344
tr|E7S2N9|E7S2N9_STRA8
tr|E7S4P9|E7S4P9_STRA8
tr|E7S400|E7S400_STRA8
tr|E7S4K9|E7S4K9_STRA8
tr|E7S291|E7S291_STRA8
tr|E7S3A9|E7S3A9_STRA8
tr|E7S4P3|E7S4P3_STRA8	K16898
tr|E7S468|E7S468_STRA8
tr|E7S5T8|E7S5T8_STRA8
tr|E7S7A9|E7S7A9_STRA8	K07052
