sp|A9BNJ1|ACPS_DELAS	K00997
tr|A9BLT1|A9BLT1_DELAS
tr|A9BLT3|A9BLT3_DELAS	K03805
tr|A9BLT9|A9BLT9_DELAS
tr|A9BLU2|A9BLU2_DELAS
tr|A9BLU8|A9BLU8_DELAS
tr|A9BLV3|A9BLV3_DELAS	K14162
tr|A9BLV8|A9BLV8_DELAS	K01028
tr|A9BLW0|A9BLW0_DELAS	K03781
tr|A9BLW7|A9BLW7_DELAS
tr|A9BLW9|A9BLW9_DELAS
tr|A9BLX5|A9BLX5_DELAS	K01561
tr|A9BLX8|A9BLX8_DELAS
tr|A9BLX9|A9BLX9_DELAS	K00675
tr|A9BLY3|A9BLY3_DELAS
tr|A9BLY5|A9BLY5_DELAS	K10126
tr|A9BM82|A9BM82_DELAS
tr|A9BMA0|A9BMA0_DELAS
tr|A9BMA6|A9BMA6_DELAS	K15866
tr|A9BMB0|A9BMB0_DELAS
tr|A9BMK2|A9BMK2_DELAS	K02040
tr|A9BMK4|A9BMK4_DELAS	K00937
tr|A9BML2|A9BML2_DELAS
tr|A9BMM4|A9BMM4_DELAS	K07277
tr|A9BMM5|A9BMM5_DELAS	K11749
tr|A9BMM8|A9BMM8_DELAS	K00806
tr|A9BN02|A9BN02_DELAS	K07225
tr|A9BQ47|A9BQ47_DELAS
tr|A9BRH2|A9BRH2_DELAS
tr|A9BRH9|A9BRH9_DELAS
tr|A9BRI5|A9BRI5_DELAS
tr|A9BRI6|A9BRI6_DELAS
tr|A9BRV4|A9BRV4_DELAS	K17324
tr|A9BRV9|A9BRV9_DELAS	K17321
tr|A9BRX1|A9BRX1_DELAS	K03076
tr|A9BRX7|A9BRX7_DELAS
tr|A9BRX8|A9BRX8_DELAS	K03319
tr|A9BS77|A9BS77_DELAS
tr|A9BS86|A9BS86_DELAS	K02034
tr|A9BS91|A9BS91_DELAS	K04046
tr|A9BS97|A9BS97_DELAS	K02670
tr|A9BSA6|A9BSA6_DELAS	K03772
tr|A9BSB2|A9BSB2_DELAS	K01433
tr|A9BSB4|A9BSB4_DELAS	K00104
tr|A9BSJ3|A9BSJ3_DELAS
tr|A9BSJ7|A9BSJ7_DELAS
tr|A9BSK0|A9BSK0_DELAS
tr|A9BSK1|A9BSK1_DELAS
tr|A9BSK2|A9BSK2_DELAS
tr|A9BSK6|A9BSK6_DELAS	K10004
tr|A9BSK7|A9BSK7_DELAS
tr|A9BSM3|A9BSM3_DELAS	K00101
tr|A9BSM8|A9BSM8_DELAS
tr|A9BSN0|A9BSN0_DELAS
tr|A9BSN1|A9BSN1_DELAS
tr|A9BSN9|A9BSN9_DELAS
tr|A9BSP1|A9BSP1_DELAS	K03521
tr|A9BSP7|A9BSP7_DELAS
tr|A9BSW8|A9BSW8_DELAS
tr|A9BSW9|A9BSW9_DELAS
tr|A9BSX5|A9BSX5_DELAS
tr|A9BSX8|A9BSX8_DELAS
tr|A9BSY2|A9BSY2_DELAS
tr|A9BSY8|A9BSY8_DELAS
tr|A9BT12|A9BT12_DELAS	K07665
tr|A9BT15|A9BT15_DELAS
tr|A9BT21|A9BT21_DELAS
tr|A9BT24|A9BT24_DELAS
tr|A9BT30|A9BT30_DELAS
tr|A9BT31|A9BT31_DELAS
tr|A9BT37|A9BT37_DELAS
tr|A9BT38|A9BT38_DELAS
tr|A9BT90|A9BT90_DELAS	K02004
tr|A9BT94|A9BT94_DELAS
tr|A9BT96|A9BT96_DELAS	K11735
tr|A9BT99|A9BT99_DELAS
tr|A9BTB2|A9BTB2_DELAS	K00019
tr|A9BTB3|A9BTB3_DELAS	K03710
tr|A9BN04|A9BN04_DELAS	K16087
tr|A9BN05|A9BN05_DELAS	K03387
tr|A9BQ64|A9BQ64_DELAS	K02387
tr|A9BQ67|A9BQ67_DELAS
tr|A9BQ68|A9BQ68_DELAS	K02408
tr|A9BQ73|A9BQ73_DELAS	K02413
tr|A9BQ78|A9BQ78_DELAS	K02418
tr|A9BQ85|A9BQ85_DELAS
tr|A9BQ87|A9BQ87_DELAS	K00799
tr|A9BQ90|A9BQ90_DELAS
tr|A9BQA2|A9BQA2_DELAS	K20074
tr|A9BQA3|A9BQA3_DELAS
tr|A9BQA4|A9BQA4_DELAS	K01902
tr|A9BQB1|A9BQB1_DELAS
tr|A9BQB6|A9BQB6_DELAS
tr|A9BQB9|A9BQB9_DELAS	K07117
tr|A9BQC2|A9BQC2_DELAS
tr|A9BQD2|A9BQD2_DELAS
tr|A9BQD9|A9BQD9_DELAS
tr|A9BQE1|A9BQE1_DELAS
tr|A9BQE2|A9BQE2_DELAS
tr|A9BQE5|A9BQE5_DELAS
tr|A9BQF1|A9BQF1_DELAS	K04100
tr|A9BQF3|A9BQF3_DELAS	K07010
tr|A9BRK0|A9BRK0_DELAS
tr|A9BRM0|A9BRM0_DELAS
tr|A9BRM1|A9BRM1_DELAS
tr|A9BRM6|A9BRM6_DELAS	K03408
tr|A9BRN6|A9BRN6_DELAS
tr|A9BRP7|A9BRP7_DELAS
tr|A9BRQ0|A9BRQ0_DELAS
tr|A9BRQ1|A9BRQ1_DELAS
tr|A9BRR3|A9BRR3_DELAS	K03337
tr|A9BRR5|A9BRR5_DELAS
tr|A9BRR9|A9BRR9_DELAS	K01588
tr|A9BRS1|A9BRS1_DELAS	K01990
tr|A9BRS6|A9BRS6_DELAS
tr|A9BRS9|A9BRS9_DELAS	K05808
tr|A9BRT9|A9BRT9_DELAS
tr|A9BRY9|A9BRY9_DELAS
tr|A9BRZ3|A9BRZ3_DELAS
tr|A9BRZ6|A9BRZ6_DELAS	K01993
tr|A9BRZ8|A9BRZ8_DELAS	K00208
tr|A9BS01|A9BS01_DELAS
tr|A9BS07|A9BS07_DELAS
tr|A9BS11|A9BS11_DELAS
tr|A9BS12|A9BS12_DELAS	K06945
tr|A9BS16|A9BS16_DELAS	K00681
tr|A9BS17|A9BS17_DELAS
tr|A9BS30|A9BS30_DELAS	K13796
tr|A9BS33|A9BS33_DELAS
tr|A9BS39|A9BS39_DELAS
tr|A9BS43|A9BS43_DELAS
tr|A9BS47|A9BS47_DELAS	K02610
tr|A9BS68|A9BS68_DELAS
tr|A9BTB4|A9BTB4_DELAS
tr|A9BTB6|A9BTB6_DELAS
tr|A9BTB9|A9BTB9_DELAS	K07124
tr|A9BTC5|A9BTC5_DELAS
tr|A9BTC6|A9BTC6_DELAS
tr|A9BTC7|A9BTC7_DELAS	K01358
tr|A9BTD5|A9BTD5_DELAS
tr|A9BTD6|A9BTD6_DELAS
tr|A9BTE0|A9BTE0_DELAS
tr|A9BTE4|A9BTE4_DELAS
tr|A9BTF4|A9BTF4_DELAS	K01053
tr|A9BTG0|A9BTG0_DELAS
tr|A9BTG8|A9BTG8_DELAS
tr|A9BTH7|A9BTH7_DELAS	K02355
tr|A9BTH9|A9BTH9_DELAS	K01092
tr|A9BTI6|A9BTI6_DELAS	K05685
tr|A9BTJ2|A9BTJ2_DELAS	K09889
tr|A9BTJ6|A9BTJ6_DELAS	K05802
tr|A9BV18|A9BV18_DELAS
tr|A9BV19|A9BV19_DELAS
tr|A9BV21|A9BV21_DELAS	K01874
tr|A9BV22|A9BV22_DELAS	K07001
tr|A9BV31|A9BV31_DELAS	K14974
tr|A9BV34|A9BV34_DELAS	K08369
tr|A9BV43|A9BV43_DELAS
tr|A9BV46|A9BV46_DELAS	K02283
tr|A9BV47|A9BV47_DELAS	K02282
tr|A9BV59|A9BV59_DELAS
tr|A9BV64|A9BV64_DELAS
tr|A9BV78|A9BV78_DELAS
tr|A9BV79|A9BV79_DELAS
tr|A9BV82|A9BV82_DELAS	K00029
tr|A9BV86|A9BV86_DELAS
tr|A9BV98|A9BV98_DELAS	K15977
tr|A9BV99|A9BV99_DELAS
tr|A9BVA1|A9BVA1_DELAS
tr|A9BVA3|A9BVA3_DELAS	K07402
tr|A9BVA5|A9BVA5_DELAS
tr|A9BVA6|A9BVA6_DELAS
tr|A9BVC1|A9BVC1_DELAS	K02503
tr|A9BVR2|A9BVR2_DELAS
tr|A9BX47|A9BX47_DELAS
tr|A9BX50|A9BX50_DELAS
tr|A9C0K9|A9C0K9_DELAS
tr|A9BN10|A9BN10_DELAS
tr|A9BN12|A9BN12_DELAS
tr|A9BN14|A9BN14_DELAS	K02238
tr|A9BN19|A9BN19_DELAS	K02622
tr|A9BN26|A9BN26_DELAS	K18850
tr|A9BN33|A9BN33_DELAS	K02483
tr|A9BN35|A9BN35_DELAS
tr|A9BN37|A9BN37_DELAS
tr|A9BN42|A9BN42_DELAS	K01689
tr|A9BN48|A9BN48_DELAS	K07181
tr|A9BSD6|A9BSD6_DELAS	K07673
tr|A9BSE2|A9BSE2_DELAS	K00373
tr|A9BSE4|A9BSE4_DELAS	K03769
tr|A9BSF0|A9BSF0_DELAS	K00803
tr|A9BSG9|A9BSG9_DELAS	K02051
tr|A9BSH1|A9BSH1_DELAS	K02050
tr|A9BSH7|A9BSH7_DELAS
tr|A9BSH8|A9BSH8_DELAS	K00574
tr|A9BSH9|A9BSH9_DELAS
tr|A9BSQ2|A9BSQ2_DELAS	K07039
tr|A9BSR9|A9BSR9_DELAS
tr|A9BST4|A9BST4_DELAS
tr|A9BST9|A9BST9_DELAS
tr|A9BSV0|A9BSV0_DELAS	K05834
tr|A9BSV2|A9BSV2_DELAS
tr|A9BSV5|A9BSV5_DELAS	K02169
tr|A9BSW0|A9BSW0_DELAS	K02258
tr|A9BT47|A9BT47_DELAS
tr|A9BT50|A9BT50_DELAS
tr|A9BT57|A9BT57_DELAS
tr|A9BT58|A9BT58_DELAS
tr|A9BT61|A9BT61_DELAS
tr|A9BT66|A9BT66_DELAS	K00625
tr|A9BT68|A9BT68_DELAS
tr|A9BT83|A9BT83_DELAS
tr|A9BTJ9|A9BTJ9_DELAS
tr|A9BTK2|A9BTK2_DELAS	K17838
tr|A9BTK3|A9BTK3_DELAS
tr|A9BXF5|A9BXF5_DELAS	K02517
tr|A9BXF9|A9BXF9_DELAS	K00763
tr|A9BXG4|A9BXG4_DELAS
tr|A9BXH2|A9BXH2_DELAS	K02049
tr|A9BXJ0|A9BXJ0_DELAS
tr|A9BXU4|A9BXU4_DELAS	K18144
tr|A9BXU6|A9BXU6_DELAS	K13580
tr|A9BXU7|A9BXU7_DELAS	K03405
tr|A9BXW5|A9BXW5_DELAS
tr|A9BXX6|A9BXX6_DELAS	K00500
tr|A9BXX7|A9BXX7_DELAS
tr|A9BXX8|A9BXX8_DELAS	K03719
tr|A9BY56|A9BY56_DELAS
tr|A9BY58|A9BY58_DELAS
tr|A9BY65|A9BY65_DELAS
tr|A9BY68|A9BY68_DELAS	K05540
tr|A9BY70|A9BY70_DELAS
tr|A9BY76|A9BY76_DELAS
tr|A9BY78|A9BY78_DELAS	K02658
tr|A9BY80|A9BY80_DELAS	K02660
tr|A9BY87|A9BY87_DELAS	K01465
tr|A9BY97|A9BY97_DELAS
tr|A9BYA5|A9BYA5_DELAS
tr|A9BYB0|A9BYB0_DELAS
tr|A9BYB1|A9BYB1_DELAS	K00799
tr|A9BYB3|A9BYB3_DELAS
tr|A9BYI7|A9BYI7_DELAS
tr|A9BYI9|A9BYI9_DELAS
tr|A9BYJ5|A9BYJ5_DELAS
tr|A9BYL1|A9BYL1_DELAS
tr|A9BYN5|A9BYN5_DELAS
tr|A9BYQ4|A9BYQ4_DELAS
tr|A9BYQ6|A9BYQ6_DELAS
tr|A9BYV6|A9BYV6_DELAS
tr|A9BYV7|A9BYV7_DELAS	K12339
tr|A9BYW6|A9BYW6_DELAS
tr|A9BYW7|A9BYW7_DELAS
tr|A9BYW8|A9BYW8_DELAS	K07734
tr|A9BYX1|A9BYX1_DELAS
tr|A9BYX8|A9BYX8_DELAS	K01595
tr|A9BYY0|A9BYY0_DELAS	K02402
tr|A9BYZ6|A9BYZ6_DELAS
tr|A9BYZ7|A9BYZ7_DELAS	K07161
tr|A9BYZ9|A9BYZ9_DELAS	K07402
tr|A9BZ00|A9BZ00_DELAS
tr|A9BZ04|A9BZ04_DELAS
tr|A9BZ05|A9BZ05_DELAS
tr|A9BZ07|A9BZ07_DELAS
tr|A9BZ10|A9BZ10_DELAS
tr|A9BZ12|A9BZ12_DELAS
tr|A9BZ29|A9BZ29_DELAS	K03786
tr|A9BZ34|A9BZ34_DELAS
tr|A9BZ35|A9BZ35_DELAS
tr|A9BZ36|A9BZ36_DELAS	K00163
tr|A9BZ39|A9BZ39_DELAS
tr|A9BZ46|A9BZ46_DELAS	K01247
tr|A9BZ52|A9BZ52_DELAS
tr|A9BZ58|A9BZ58_DELAS	K07793
tr|A9BZ59|A9BZ59_DELAS
tr|A9BN49|A9BN49_DELAS	K07181
tr|A9BN51|A9BN51_DELAS	K04763
tr|A9BN54|A9BN54_DELAS
tr|A9BN55|A9BN55_DELAS	K03307
tr|A9BN58|A9BN58_DELAS
tr|A9BN59|A9BN59_DELAS	K18979
tr|A9BN68|A9BN68_DELAS
tr|A9BN72|A9BN72_DELAS
tr|A9BN73|A9BN73_DELAS
tr|A9BN81|A9BN81_DELAS	K06889
tr|A9BN82|A9BN82_DELAS
tr|A9BNA1|A9BNA1_DELAS	K00343
tr|A9BNA2|A9BNA2_DELAS	K00342
tr|A9BNA4|A9BNA4_DELAS	K00340
tr|A9BNA5|A9BNA5_DELAS	K00339
tr|A9BNB0|A9BNB0_DELAS	K00334
tr|A9BNB5|A9BNB5_DELAS	K03075
tr|A9BNC0|A9BNC0_DELAS
tr|A9BNC4|A9BNC4_DELAS
tr|A9BND1|A9BND1_DELAS	K02674
tr|A9BND6|A9BND6_DELAS
tr|A9BND8|A9BND8_DELAS
tr|A9BTK6|A9BTK6_DELAS
tr|A9BVR5|A9BVR5_DELAS	K02224
tr|A9BVR7|A9BVR7_DELAS	K02016
tr|A9BVS1|A9BVS1_DELAS
tr|A9BVS6|A9BVS6_DELAS
tr|A9BVW0|A9BVW0_DELAS
tr|A9BVY0|A9BVY0_DELAS
tr|A9BW01|A9BW01_DELAS	K16371
tr|A9BW02|A9BW02_DELAS
tr|A9BW06|A9BW06_DELAS
tr|A9BW13|A9BW13_DELAS
tr|A9BX70|A9BX70_DELAS
tr|A9BX87|A9BX87_DELAS	K02067
tr|A9BX88|A9BX88_DELAS	K02066
tr|A9BX98|A9BX98_DELAS
tr|A9BXA6|A9BXA6_DELAS	K02503
tr|A9BXB1|A9BXB1_DELAS	K00265
tr|A9BXB6|A9BXB6_DELAS
tr|A9BXC0|A9BXC0_DELAS	K01077
tr|A9BXC2|A9BXC2_DELAS
tr|A9BXC7|A9BXC7_DELAS	K01735
tr|A9BXE0|A9BXE0_DELAS
tr|A9BXJ6|A9BXJ6_DELAS
tr|A9BXJ9|A9BXJ9_DELAS
tr|A9BXK8|A9BXK8_DELAS
tr|A9BXL4|A9BXL4_DELAS
tr|A9BXM2|A9BXM2_DELAS	K02033
tr|A9BXM4|A9BXM4_DELAS	K00375
tr|A9BXM6|A9BXM6_DELAS	K01810
tr|A9BXM9|A9BXM9_DELAS	K09458
tr|A9BXN4|A9BXN4_DELAS
tr|A9BXP2|A9BXP2_DELAS	K02457
tr|A9BXQ0|A9BXQ0_DELAS	K02454
tr|A9BXR4|A9BXR4_DELAS
tr|A9BXR6|A9BXR6_DELAS	K06075
tr|A9BXR7|A9BXR7_DELAS
tr|A9BXS4|A9BXS4_DELAS
tr|A9BXY2|A9BXY2_DELAS	K01716
tr|A9BXY3|A9BXY3_DELAS	K00647
tr|A9BXY4|A9BXY4_DELAS	K01710
tr|A9C0L6|A9C0L6_DELAS	K01992
tr|A9C0L7|A9C0L7_DELAS	K01992
tr|A9C0M0|A9C0M0_DELAS
tr|A9C0M2|A9C0M2_DELAS	K03746
tr|A9C0N6|A9C0N6_DELAS
tr|A9C0P5|A9C0P5_DELAS	K01432
tr|A9C0P6|A9C0P6_DELAS
tr|A9C0P9|A9C0P9_DELAS	K05591
tr|A9C0Q0|A9C0Q0_DELAS
tr|A9C0Q1|A9C0Q1_DELAS
tr|A9C0Q3|A9C0Q3_DELAS
tr|A9C0Q6|A9C0Q6_DELAS
tr|A9C0R0|A9C0R0_DELAS
tr|A9C0R3|A9C0R3_DELAS
tr|A9C0R5|A9C0R5_DELAS
tr|A9C0S8|A9C0S8_DELAS
tr|A9C0U7|A9C0U7_DELAS
tr|A9C0U8|A9C0U8_DELAS
tr|A9C0Y3|A9C0Y3_DELAS	K06978
tr|A9C0Y6|A9C0Y6_DELAS
tr|A9C1A7|A9C1A7_DELAS	K11928
tr|A9C1A8|A9C1A8_DELAS
tr|A9C1C0|A9C1C0_DELAS
tr|A9C1C1|A9C1C1_DELAS
tr|A9C1C4|A9C1C4_DELAS	K02342
tr|A9C2Q3|A9C2Q3_DELAS
tr|A9C2Q8|A9C2Q8_DELAS
tr|A9C2R8|A9C2R8_DELAS
tr|A9C318|A9C318_DELAS
tr|A9C324|A9C324_DELAS
tr|A9C326|A9C326_DELAS
tr|A9C331|A9C331_DELAS
tr|A9C340|A9C340_DELAS
tr|A9C345|A9C345_DELAS	K02050
tr|A9C349|A9C349_DELAS
tr|A9C353|A9C353_DELAS	K09981
tr|A9BNE0|A9BNE0_DELAS
tr|A9BNE6|A9BNE6_DELAS
tr|A9BNF3|A9BNF3_DELAS	K00003
tr|A9BNF4|A9BNF4_DELAS	K14260
tr|A9BNF5|A9BNF5_DELAS
tr|A9BNG7|A9BNG7_DELAS	K07126
tr|A9BNK2|A9BNK2_DELAS	K09458
tr|A9BNM1|A9BNM1_DELAS	K02346
tr|A9BNM4|A9BNM4_DELAS	K03088
tr|A9BNN1|A9BNN1_DELAS
tr|A9BNN2|A9BNN2_DELAS
tr|A9BNN3|A9BNN3_DELAS
tr|A9BNP4|A9BNP4_DELAS	K02168
tr|A9BNP8|A9BNP8_DELAS
tr|A9BNQ5|A9BNQ5_DELAS	K02480
tr|A9BNQ6|A9BNQ6_DELAS
tr|A9BNR9|A9BNR9_DELAS
tr|A9BNS6|A9BNS6_DELAS	K02884
tr|A9BNT1|A9BNT1_DELAS
tr|A9BNU1|A9BNU1_DELAS
tr|A9BNU7|A9BNU7_DELAS	K03466
tr|A9BNX1|A9BNX1_DELAS
tr|A9BNX5|A9BNX5_DELAS	K00059
tr|A9BNY0|A9BNY0_DELAS
tr|A9BNY1|A9BNY1_DELAS
tr|A9BNY2|A9BNY2_DELAS	K03424
tr|A9BNY4|A9BNY4_DELAS	K09810
tr|A9BNY6|A9BNY6_DELAS
tr|A9BNZ1|A9BNZ1_DELAS
tr|A9BP02|A9BP02_DELAS
tr|A9BP05|A9BP05_DELAS	K03631
tr|A9BP10|A9BP10_DELAS
tr|A9BP12|A9BP12_DELAS
tr|A9BP15|A9BP15_DELAS	K02494
tr|A9BP26|A9BP26_DELAS	K02433
tr|A9BP36|A9BP36_DELAS
tr|A9BP38|A9BP38_DELAS
tr|A9BP45|A9BP45_DELAS	K03183
tr|A9BP63|A9BP63_DELAS
tr|A9BP71|A9BP71_DELAS	K02523
tr|A9BP74|A9BP74_DELAS	K02654
tr|A9BP82|A9BP82_DELAS
tr|A9BP96|A9BP96_DELAS
tr|A9BTL6|A9BTL6_DELAS	K00135
tr|A9BTN1|A9BTN1_DELAS	K16135
tr|A9BTN7|A9BTN7_DELAS
tr|A9BTQ0|A9BTQ0_DELAS	K02041
tr|A9BTR9|A9BTR9_DELAS	K20266
tr|A9BTS8|A9BTS8_DELAS	K00901
tr|A9BTT3|A9BTT3_DELAS	K15726
tr|A9BTT4|A9BTT4_DELAS
tr|A9BTT8|A9BTT8_DELAS
tr|A9BTW2|A9BTW2_DELAS
tr|A9BTW7|A9BTW7_DELAS
tr|A9BTX1|A9BTX1_DELAS	K01895
tr|A9BTX2|A9BTX2_DELAS
tr|A9BTX4|A9BTX4_DELAS
tr|A9BTX9|A9BTX9_DELAS
tr|A9BTY2|A9BTY2_DELAS	K18383
tr|A9BTY4|A9BTY4_DELAS
tr|A9BTY9|A9BTY9_DELAS
tr|A9BUA3|A9BUA3_DELAS
tr|A9BXZ9|A9BXZ9_DELAS	K03273
tr|A9BY03|A9BY03_DELAS
tr|A9BY07|A9BY07_DELAS	K03525
tr|A9BY15|A9BY15_DELAS
tr|A9BY17|A9BY17_DELAS
tr|A9BY21|A9BY21_DELAS	K03769
tr|A9BY28|A9BY28_DELAS
tr|A9BY29|A9BY29_DELAS
tr|A9BY48|A9BY48_DELAS	K07516
tr|A9BYB8|A9BYB8_DELAS
tr|A9BYC7|A9BYC7_DELAS
tr|A9BYD1|A9BYD1_DELAS
tr|A9BYD7|A9BYD7_DELAS
tr|A9BYE0|A9BYE0_DELAS
tr|A9BYE3|A9BYE3_DELAS
tr|A9BYE9|A9BYE9_DELAS
tr|A9BYF2|A9BYF2_DELAS
tr|A9BYF9|A9BYF9_DELAS
tr|A9BYG0|A9BYG0_DELAS
tr|A9BYG3|A9BYG3_DELAS
tr|A9BYG5|A9BYG5_DELAS
tr|A9BYG7|A9BYG7_DELAS	K01856
tr|A9BYG9|A9BYG9_DELAS
tr|A9BYR1|A9BYR1_DELAS
tr|A9BYS3|A9BYS3_DELAS
tr|A9BYS6|A9BYS6_DELAS	K02968
tr|A9BYU9|A9BYU9_DELAS
tr|A9BYV0|A9BYV0_DELAS
tr|A9C3F0|A9C3F0_DELAS
tr|A9C3G6|A9C3G6_DELAS	K02016
tr|A9C3G7|A9C3G7_DELAS	K02015
tr|A9C3G9|A9C3G9_DELAS
tr|A9C3I1|A9C3I1_DELAS
tr|A9C3I3|A9C3I3_DELAS
tr|A9C3I4|A9C3I4_DELAS
tr|A9C3I5|A9C3I5_DELAS
tr|A9BPA3|A9BPA3_DELAS
tr|A9BPC0|A9BPC0_DELAS	K10680
tr|A9BPC1|A9BPC1_DELAS	K19784
tr|A9BPC6|A9BPC6_DELAS	K02049
tr|A9BTZ2|A9BTZ2_DELAS
tr|A9BU00|A9BU00_DELAS
tr|A9BU01|A9BU01_DELAS	K07677
tr|A9BU09|A9BU09_DELAS
tr|A9BU10|A9BU10_DELAS
tr|A9BU20|A9BU20_DELAS
tr|A9BU32|A9BU32_DELAS
tr|A9BU49|A9BU49_DELAS
tr|A9BU60|A9BU60_DELAS	K01640
tr|A9BU67|A9BU67_DELAS	K07642
tr|A9BU70|A9BU70_DELAS
tr|A9BU80|A9BU80_DELAS
tr|A9BU85|A9BU85_DELAS
tr|A9BU93|A9BU93_DELAS
tr|A9BU98|A9BU98_DELAS	K01998
tr|A9BUB0|A9BUB0_DELAS	K06182
tr|A9BUB6|A9BUB6_DELAS	K06188
tr|A9BUD3|A9BUD3_DELAS
tr|A9BUD4|A9BUD4_DELAS
tr|A9BUD7|A9BUD7_DELAS
tr|A9BUD9|A9BUD9_DELAS
tr|A9BUE2|A9BUE2_DELAS
tr|A9BUE3|A9BUE3_DELAS	K01241
tr|A9BUE4|A9BUE4_DELAS
tr|A9BUF0|A9BUF0_DELAS
tr|A9BUF6|A9BUF6_DELAS	K19129
tr|A9BUF7|A9BUF7_DELAS	K19130
tr|A9BUF9|A9BUF9_DELAS
tr|A9BUG2|A9BUG2_DELAS
tr|A9BUG3|A9BUG3_DELAS
tr|A9BUM9|A9BUM9_DELAS
tr|A9BZ78|A9BZ78_DELAS
tr|A9BZ81|A9BZ81_DELAS
tr|A9BZ83|A9BZ83_DELAS	K02020
tr|A9BZ91|A9BZ91_DELAS	K01996
tr|A9BZA1|A9BZA1_DELAS	K07025
tr|A9BZA9|A9BZA9_DELAS
tr|A9BZB9|A9BZB9_DELAS	K08084
tr|A9BZC0|A9BZC0_DELAS
tr|A9BZC1|A9BZC1_DELAS	K02672
tr|A9BZC3|A9BZC3_DELAS	K02674
tr|A9BZC7|A9BZC7_DELAS
tr|A9BZD1|A9BZD1_DELAS
tr|A9BZD8|A9BZD8_DELAS
tr|A9BZH4|A9BZH4_DELAS
tr|A9BZH9|A9BZH9_DELAS	K19295
tr|A9BZI2|A9BZI2_DELAS
tr|A9BZI7|A9BZI7_DELAS
tr|A9BZI8|A9BZI8_DELAS
tr|A9BZJ1|A9BZJ1_DELAS	K16090
tr|A9BZJ8|A9BZJ8_DELAS
tr|A9C1D5|A9C1D5_DELAS	K01968
tr|A9C1F2|A9C1F2_DELAS	K07006
tr|A9C1G6|A9C1G6_DELAS	K02340
tr|A9C1H0|A9C1H0_DELAS
tr|A9C1H1|A9C1H1_DELAS	K03561
tr|A9C1J4|A9C1J4_DELAS
tr|A9C1J5|A9C1J5_DELAS	K00029
tr|A9C1J7|A9C1J7_DELAS
tr|A9C1K0|A9C1K0_DELAS	K04744
tr|A9C2S0|A9C2S0_DELAS
tr|A9C2S7|A9C2S7_DELAS	K07474
tr|A9C2S8|A9C2S8_DELAS
tr|A9C2T4|A9C2T4_DELAS
tr|A9C2T9|A9C2T9_DELAS
tr|A9C2U0|A9C2U0_DELAS
tr|A9C2U2|A9C2U2_DELAS
tr|A9C2U6|A9C2U6_DELAS
tr|A9C2Y2|A9C2Y2_DELAS
tr|A9C2Y6|A9C2Y6_DELAS
tr|A9C2Z9|A9C2Z9_DELAS
tr|A9C304|A9C304_DELAS
tr|A9C311|A9C311_DELAS
tr|A9C316|A9C316_DELAS	K19156
tr|A9C356|A9C356_DELAS
tr|A9C364|A9C364_DELAS	K07226
tr|A9C390|A9C390_DELAS
tr|A9C393|A9C393_DELAS	K17850
tr|A9C394|A9C394_DELAS
tr|A9C395|A9C395_DELAS
tr|A9C399|A9C399_DELAS
tr|A9C3A1|A9C3A1_DELAS	K17207
tr|A9C3A8|A9C3A8_DELAS	K02048
tr|A9C3C2|A9C3C2_DELAS
tr|A9C3C4|A9C3C4_DELAS
tr|A9C3C7|A9C3C7_DELAS
tr|A9C3J8|A9C3J8_DELAS
tr|A9C3K1|A9C3K1_DELAS
tr|A9C3K4|A9C3K4_DELAS
tr|A9C3K7|A9C3K7_DELAS
tr|A9C3K8|A9C3K8_DELAS
tr|A9C3L0|A9C3L0_DELAS
tr|A9C3L2|A9C3L2_DELAS
tr|A9C3M5|A9C3M5_DELAS
tr|A9C3M6|A9C3M6_DELAS
tr|A9C3M9|A9C3M9_DELAS
tr|A9BUG4|A9BUG4_DELAS	K19745
tr|A9BUH3|A9BUH3_DELAS
tr|A9BUH7|A9BUH7_DELAS
tr|A9BUI1|A9BUI1_DELAS	K02035
tr|A9BUI6|A9BUI6_DELAS
tr|A9BUL3|A9BUL3_DELAS
tr|A9BUL9|A9BUL9_DELAS	K03832
tr|A9BUM1|A9BUM1_DELAS	K07000
tr|A9BUM2|A9BUM2_DELAS	K05837
tr|A9BUN7|A9BUN7_DELAS	K00525
tr|A9BUP0|A9BUP0_DELAS	K02668
tr|A9BUP9|A9BUP9_DELAS
tr|A9BUQ0|A9BUQ0_DELAS
tr|A9BUQ4|A9BUQ4_DELAS	K02017
tr|A9BUR0|A9BUR0_DELAS
tr|A9BUR9|A9BUR9_DELAS	K07140
tr|A9BUS9|A9BUS9_DELAS	K00019
tr|A9BUT1|A9BUT1_DELAS	K01576
tr|A9BUT2|A9BUT2_DELAS	K00077
tr|A9BUT9|A9BUT9_DELAS
tr|A9BZW3|A9BZW3_DELAS
tr|A9C2D6|A9C2D6_DELAS
tr|A9C2D7|A9C2D7_DELAS
tr|A9C2E0|A9C2E0_DELAS
tr|A9C2E2|A9C2E2_DELAS
tr|A9C2E6|A9C2E6_DELAS
tr|A9C2E8|A9C2E8_DELAS
tr|A9C2G8|A9C2G8_DELAS	K03746
tr|A9C2G9|A9C2G9_DELAS	K03406
tr|A9C2H1|A9C2H1_DELAS
tr|A9C2H4|A9C2H4_DELAS
tr|A9BQG7|A9BQG7_DELAS	K19302
tr|A9BQG8|A9BQG8_DELAS
tr|A9BQH0|A9BQH0_DELAS	K07645
